| table_name             | column_name            | data_type                | is_nullable | column_default          | constraint_type |
| processos              | cliente_id             | uuid                     | NO          | null                    | null            |
| processos              | cliente_preso          | boolean                  | YES         | false                   | null            |
| processos              | created_at             | timestamp with time zone | NO          | now()                   | null            |
| processos              | descricao              | text                     | YES         | null                    | null            |
| processos              | id                     | uuid                     | NO          | gen_random_uuid()       | PRIMARY KEY     |
| processos              | id                     | uuid                     | NO          | gen_random_uuid()       | FOREIGN KEY     |
| processos              | numero_processo        | text                     | NO          | null                    | null            |
| processos              | prazo                  | date                     | YES         | null                    | null            |
| processos              | status                 | text                     | YES         | 'ATIVO'::text           | null            |
| processos              | tipo_processo          | text                     | NO          | null                    | null            |
| processos              | updated_at             | timestamp with time zone | NO          | now()                   | null            |
| processos              | user_id                | uuid                     | NO          | null                    | null            |
| profiles               | email                  | text                     | NO          | null                    | UNIQUE          |
| profiles               | id                     | uuid                     | NO          | null                    | PRIMARY KEY     |
| responsavel_financeiro | cep                    | text                     | NO          | null                    | null            |
| responsavel_financeiro | cpf                    | text                     | NO          | null                    | null            |
| responsavel_financeiro | created_at             | timestamp with time zone | NO          | now()                   | null            |
